main_term,path,full_term,level,type,value,code
"Angio Vac System, for extracorporeal filtration during percutaneous thrombectomy","Angio Vac System, for extracorporeal filtration during percutaneous thrombectomy","Angio Vac System, for extracorporeal filtration during percutaneous thrombectomy",0,code,,5A05A0L
Angiocardiography,Angiocardiography > Combined right and left heart,Angiocardiography > Combined right and left heart,1,see,"Fluoroscopy, Heart, Right and Left B216",B216
Angiocardiography,Angiocardiography > Left Heart,Angiocardiography > Left Heart,1,see,"Fluoroscopy, Heart, Left B215",B215
Angiocardiography,Angiocardiography > Right Heart,Angiocardiography > Right Heart,1,see,"Fluoroscopy, Heart, Right B214",B214
Angiocardiography,Angiocardiography > SPY system intravascular fluorescence,Angiocardiography > SPY system intravascular fluorescence,1,see,"Monitoring, Physiological Systems 4A1",
Angiography,Angiography,Angiography,1,see,"Computerized Tomography (CT Scan), Artery",
Angiography,Angiography,Angiography,1,see,"Fluoroscopy, Artery",
Angiography,Angiography,Angiography,1,see,"Magnetic Resonance Imaging (MRI), Artery",
Angiography,Angiography,Angiography,1,see,"Plain Radiography, Artery",
ANGIOGUARD(tm) RX Emboli Capture Guidewire System,ANGIOGUARD(tm) RX Emboli Capture Guidewire System,ANGIOGUARD(tm) RX Emboli Capture Guidewire System,0,code,,5A05A6M
Angioplasty,Angioplasty,Angioplasty,1,see,"Dilation, Heart and Great Vessels 027",
Angioplasty,Angioplasty,Angioplasty,1,see,"Repair, Heart and Great Vessels 02Q",
Angioplasty,Angioplasty,Angioplasty,1,see,"Replacement, Heart and Great Vessels 02R",
Angioplasty,Angioplasty,Angioplasty,1,see,"Supplement, Heart and Great Vessels 02U",
Angioplasty,Angioplasty,Angioplasty,1,see,"Dilation, Upper Arteries 037",
Angioplasty,Angioplasty,Angioplasty,1,see,"Repair, Upper Arteries 03Q",
Angioplasty,Angioplasty,Angioplasty,1,see,"Replacement, Upper Arteries 03R",
Angioplasty,Angioplasty,Angioplasty,1,see,"Supplement, Upper Arteries 03U",
Angioplasty,Angioplasty,Angioplasty,1,see,"Dilation, Lower Arteries 047",
Angioplasty,Angioplasty,Angioplasty,1,see,"Repair, Lower Arteries 04Q",
Angioplasty,Angioplasty,Angioplasty,1,see,"Replacement, Lower Arteries 04R",
Angioplasty,Angioplasty,Angioplasty,1,see,"Supplement, Lower Arteries 04U",
Angiorrhaphy,Angiorrhaphy,Angiorrhaphy,1,see,"Repair, Heart and Great Vessels 02Q",
Angiorrhaphy,Angiorrhaphy,Angiorrhaphy,1,see,"Repair, Upper Arteries 03Q",
Angiorrhaphy,Angiorrhaphy,Angiorrhaphy,1,see,"Repair, Lower Arteries 04Q",
Angioscopy,Angioscopy,Angioscopy,1,code,,02JY4ZZ
Angioscopy,Angioscopy,Angioscopy,1,code,,03JY4ZZ
Angioscopy,Angioscopy,Angioscopy,1,code,,04JY4ZZ
Angiotensin II,Angiotensin II,Angiotensin II,0,use,Vasopressor,
Angiotripsy,Angiotripsy,Angiotripsy,1,see,"Occlusion, Upper Arteries 03L",
Angiotripsy,Angiotripsy,Angiotripsy,1,see,"Occlusion, Lower Arteries 04L",
Angular artery,Angular artery,Angular artery,0,use,Face Artery,
Angular vein,Angular vein,Angular vein,1,use,"Face Vein, Right",
Angular vein,Angular vein,Angular vein,1,use,"Face Vein, Left",
Ankle Truss System(tm) (ATS),Ankle Truss System(tm) (ATS),Ankle Truss System(tm) (ATS),0,use,"Internal Fixation Device, Open-truss Design in New Technology",
Annalise Enterprise CTB Triage software (Measurement of Intracranial Cerebrospinal Fluid Flow),Annalise Enterprise CTB Triage software (Measurement of Intracranial Cerebrospinal Fluid Flow),Annalise Enterprise CTB Triage software (Measurement of Intracranial Cerebrospinal Fluid Flow),0,code,,XXE0X1A
Annular ligament,Annular ligament,Annular ligament,1,use,"Elbow Bursa and Ligament, Right",
Annular ligament,Annular ligament,Annular ligament,1,use,"Elbow Bursa and Ligament, Left",
Annuloplasty,Annuloplasty,Annuloplasty,1,see,"Repair, Heart and Great Vessels 02Q",
Annuloplasty,Annuloplasty,Annuloplasty,1,see,"Supplement, Heart and Great Vessels 02U",
Annuloplasty,Annuloplasty,Annuloplasty,1,see,"Restriction, Heart and Great Vessels 02V",
Annuloplasty ring,Annuloplasty ring,Annuloplasty ring,0,use,Synthetic Substitute,
Anoplasty,Anoplasty,Anoplasty,1,see,"Repair, Anus 0DQQ",0DQQ
Anoplasty,Anoplasty,Anoplasty,1,see,"Supplement, Anus 0DUQ",0DUQ
Anorectal junction,Anorectal junction,Anorectal junction,0,use,Rectum,
Anoscopy,Anoscopy,Anoscopy,0,code,,0DJD8ZZ
Ansa cervicalis,Ansa cervicalis,Ansa cervicalis,0,use,Cervical Plexus,
Antabuse therapy,Antabuse therapy,Antabuse therapy,0,code,,HZ93ZZZ
Antebrachial fascia,Antebrachial fascia,Antebrachial fascia,1,use,"Subcutaneous Tissue and Fascia, Right Lower Arm",
Antebrachial fascia,Antebrachial fascia,Antebrachial fascia,1,use,"Subcutaneous Tissue and Fascia, Left Lower Arm",
Anterior (pectoral) lymph node,Anterior (pectoral) lymph node,Anterior (pectoral) lymph node,1,use,"Lymphatic, Right Axillary",
Anterior (pectoral) lymph node,Anterior (pectoral) lymph node,Anterior (pectoral) lymph node,1,use,"Lymphatic, Left Axillary",
Anterior cerebral artery,Anterior cerebral artery,Anterior cerebral artery,0,use,Intracranial Artery,
Anterior cerebral vein,Anterior cerebral vein,Anterior cerebral vein,0,use,Intracranial Vein,
Anterior choroidal artery,Anterior choroidal artery,Anterior choroidal artery,0,use,Intracranial Artery,
Anterior circumflex humeral artery,Anterior circumflex humeral artery,Anterior circumflex humeral artery,1,use,"Axillary Artery, Right",
Anterior circumflex humeral artery,Anterior circumflex humeral artery,Anterior circumflex humeral artery,1,use,"Axillary Artery, Left",
Anterior communicating artery,Anterior communicating artery,Anterior communicating artery,0,use,Intracranial Artery,
Anterior cruciate ligament (ACL),Anterior cruciate ligament (ACL),Anterior cruciate ligament (ACL),1,use,"Knee Bursa and Ligament, Right",
Anterior cruciate ligament (ACL),Anterior cruciate ligament (ACL),Anterior cruciate ligament (ACL),1,use,"Knee Bursa and Ligament, Left",
Anterior crural nerve,Anterior crural nerve,Anterior crural nerve,0,use,Femoral Nerve,
Anterior facial vein,Anterior facial vein,Anterior facial vein,1,use,"Face Vein, Right",
Anterior facial vein,Anterior facial vein,Anterior facial vein,1,use,"Face Vein, Left",
Anterior intercostal artery,Anterior intercostal artery,Anterior intercostal artery,1,use,"Internal Mammary Artery, Right",
Anterior intercostal artery,Anterior intercostal artery,Anterior intercostal artery,1,use,"Internal Mammary Artery, Left",
